Kurtkrammeria subspicula
Kurtkrammeria treinishii
Kurtkrammeria weilandii
Lacustriella lacustris
Lemnicola hungarica
Lindavia affinis
Lindavia antiqua
Lindavia bodanica
Lindavia comensis
Lindavia delicatula
Lindavia eriensis
Lindavia intermedia
Lindavia michiganiana
Lindavia ocellata
Lindavia praetermissa
Lindavia radiosa
Lindavia rossii
Luticola arctica
Luticola goeppertiana
Luticola minor
Luticola mobiliensis
Luticola simplex
Luticola stigma
Luticola ventricosa
Mastogloia albertii
Mastogloia calcarea
Mastogloia elliptica
Mastogloia grevillei
Mastogloia lacustris
Mastogloia pseudosmithii
Mastogloia pumila
Mayamaea cahabaensis
Melosira dickiei
Melosira normannii
Melosira undulata
Melosira varians
Meridion alansmithii
Meridion anceps
Meridion circulare
Meridion circulare var. constrictum
Meridion lineare
Microcostatus krasskei
Muelleria agnellus
Muelleria gibbula
Muelleria spauldingiae
Muelleria tetonensis
Navicula aitchelbee
Navicula angusta
Navicula antonii
Navicula aurora
Navicula canalis
Navicula capitatoradiata
Navicula cari
Navicula caroliniae
Navicula caterva
Navicula cincta
Navicula cryptocephala
Navicula cryptocephaloides
Navicula cryptofallax
Navicula duerrenbergiana
Navicula eileeniae
Navicula elsoniana
Navicula erifuga
Navicula escambia
Navicula flatheadensis
Navicula freesei
Navicula galloae
Navicula genovefae
Navicula germainii
Navicula geronimensis
Navicula goersii
Navicula gregaria
Navicula harmoniae
Navicula hasta
Navicula hodgeana
Navicula ingenua
Navicula kotschyi
Navicula lanceolata
Navicula leptostriata
Navicula libonensis
Navicula longicephala
Navicula ludloviana
Navicula lundii
Navicula margalithii
Navicula metareichardtiana
Navicula notha
Navicula nunivakiana
Navicula oblonga
Navicula oppugnata
Navicula pelliculosa
Navicula peregrina
Navicula peregrinopsis
Navicula perotii
Navicula piercei
Navicula pseudolanceolata
Navicula radiosa
Navicula recens
Navicula reinhardtii
Navicula rhynchocephala
Navicula rhynchotella
Navicula rostellata
Navicula salinarum
Navicula schweigeri
Navicula seibigiana
Navicula slesvicensis
Navicula sovereignii
Navicula staffordiae
Navicula streckerae
Navicula subconcentrica
Navicula subrhynchocephala
Navicula subrostellata
Navicula subwalkeri
Navicula supleeorum
Navicula symmetrica
Navicula trilatera
Navicula tripunctata
Navicula trivialis
Navicula vaneei
Navicula venerablis
Navicula veneta
Navicula vilaplanii
Navicula viridula
Navicula viridulacalcis subsp. neomundana
Navicula volcanica
Navicula vulpina
Navicula walkeri
Navicula weberi
Navicula whitefishensis
Navicula wildii
Navicula winona
Navicymbula pusilla
Neidiomorpha binodiformis
Neidiopsis hamiltonii
Neidiopsis levanderi
Neidiopsis weilandii
Neidiopsis wulffii
Neidium bobmarshallensis
Neidium densestriatum
